"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.431,0.483,0.567,"AL","FullTime",0.5879
0.631,0.686,0.726,"AL","FullTime",0.8436
0.542,0.631,0.7,"AL","FullTime",0.6667
0.649,0.71,0.755,"AL","FullTime",0.8248
0.351,0.436,0.494,"AL","FullTime",0.5923
0.679,0.722,0.765,"AL","FullTime",0.8709
0.546,0.615,0.62,"AL","FullTime",0.6828
0.726,0.775,0.803,"AL","FullTime",0.9152
0.307,0.374,0.346,"AL","FullTime",0.3488
0.478,0.601,0.59,"AL","FullTime",0.3846
0.532,0.596,0.619,"AL","FullTime",0.5797
0.497,0.575,0.664,"AL","FullTime",0.5
0.515,0.581,0.643,"AL","FullTime",0.7411
0.402,0.427,0.469,"AL","FullTime",0.5833
0.473,0.531,0.673,"AL","FullTime",0.6568
0.33,0.405,0.466,"AL","FullTime",0.5
0.485,0.583,0.625,"AL","FullTime",0.7759
0.516,0.572,0.688,"AL","FullTime",0.7579
0.381,0.494,0.543,"AL","FullTime",0.7
0.562,0.636,0.666,"AL","FullTime",0.776
0.362,0.421,0.505,"AL","FullTime",0.52
0.314,0.372,0.323,"AL","FullTime",0.64
0.549,0.604,0.66,"AL","FullTime",0.7002
0.512,0.607,0.621,"AL","FullTime",0.6829
0.649,0.678,0.714,"AK","FullTime",0.6944
0.55,0.6,0.646,"AK","FullTime",0.7706
0.575,0.605,0.624,"AK","FullTime",0.7
0.601,0.634,0.675,"AK","FullTime",0.7838
0.281,0.321,0.367,"AZ","FullTime",0.2273
0.696,0.749,0.787,"AZ","FullTime",0.8659
0.675,0.724,0.78,"AZ","FullTime",0.8332
0.77,0.825,0.854,"AZ","FullTime",0.8681
0.507,0.664,0.79,"AZ","FullTime",0.6564
0.634,0.682,0.723,"AZ","FullTime",0.7584
0.562,0.594,0.619,"AR","FullTime",0.694
0.669,0.741,0.759,"AR","FullTime",0.8221
0.348,0.424,0.485,"AR","FullTime",0.7077
0.489,0.555,0.582,"AR","FullTime",0.7284
0.516,0.594,0.626,"AR","FullTime",0.7151
0.417,0.472,0.557,"AR","FullTime",0.5223
0.534,0.626,0.675,"AR","FullTime",0.7215
0.607,0.673,0.706,"AR","FullTime",0.8253
0.47,0.624,0.669,"AR","FullTime",0.6459
0.576,0.649,0.716,"AR","FullTime",0.7873
0.373,0.418,0.42,"AR","FullTime",0.5821
0.512,0.621,0.649,"AR","FullTime",0.6604
0.503,0.554,0.556,"AR","FullTime",0.6708
0.479,0.565,0.632,"CA","FullTime",0.7597
0.689,0.73,0.759,"CA","FullTime",0.8272
0.619,0.675,0.717,"CA","FullTime",0.8691
0.596,0.67,0.685,"CA","FullTime",0.7807
0.787,0.836,0.86,"CA","FullTime",0.9474
0.636,0.71,0.75,"CA","FullTime",0.758
0.616,0.673,0.743,"CA","FullTime",0.797
0.594,0.665,0.726,"CA","FullTime",0.8523
0.69,0.754,0.805,"CA","FullTime",0.8605
0.66,0.725,0.77,"CA","FullTime",0.8363
0.593,0.65,0.735,"CA","FullTime",0.7701
0.579,0.681,0.74,"CA","FullTime",0.8142
0.639,0.711,0.761,"CA","FullTime",0.8683
0.684,0.738,0.79,"CA","FullTime",0.7532
0.645,0.718,0.762,"CA","FullTime",0.8822
0.606,0.689,0.747,"CA","FullTime",0.7913
0.6,0.678,0.739,"CA","FullTime",0.8037
0.676,0.749,0.782,"CA","FullTime",0.8291
0.747,0.806,0.842,"CA","FullTime",0.9726
0.69,0.778,0.843,"CA","FullTime",0.9278
0.705,0.776,0.817,"CA","FullTime",0.9401
0.717,0.798,0.831,"CA","FullTime",0.966
0.609,0.717,0.791,"CA","FullTime",0.8887
0.727,0.799,0.837,"CA","FullTime",0.9433
0.671,0.756,0.805,"CA","FullTime",0.9253
0.604,0.688,0.746,"CA","FullTime",0.9056
0.876,0.858,0.866,"CA","FullTime",0.7458
0.708,0.768,0.781,"CA","FullTime",0.9051
0.645,0.654,0.732,"CA","FullTime",0.7463
0.528,0.672,0.771,"CA","FullTime",0.7524
0.402,0.545,0.562,"CA","FullTime",0.8644
0.587,0.62,0.689,"CA","FullTime",0.75
0.724,0.732,0.774,"CA","FullTime",0.8619
0.613,0.635,0.631,"CA","FullTime",0.9179
0.397,0.431,0.513,"CA","FullTime",0.875
0.614,0.659,0.709,"CA","FullTime",0.7889
0.642,0.71,0.805,"CA","FullTime",0.8211
0.459,0.561,0.618,"CA","FullTime",0.6792
0.51,0.57,0.572,"CA","FullTime",0.614
0.543,0.67,0.706,"CA","FullTime",0.5217
0.454,0.548,0.576,"CA","FullTime",0.8452
0.543,0.67,0.706,"CA","FullTime",0.2564
0.736,0.813,0.822,"CA","FullTime",0.9118
0.784,0.8,0.791,"CA","FullTime",0.7608
0.387,0.464,0.523,"CA","FullTime",0.6333
0.76,0.792,0.807,"CA","FullTime",0.5652
0.693,0.737,0.8,"CA","FullTime",0.6795
0.542,0.639,0.635,"CA","FullTime",0.7245
0.66,0.747,0.769,"CA","FullTime",0.6845
