"INSTNM","CONTROL","quintiles","pct","Type"
"University of Alabama at Birmingham","1-public","1_LOW",0.3487095003,"Dependent"
"University of Alabama in Huntsville","1-public","1_LOW",0.26901566,"Dependent"
"The University of Alabama","1-public","1_LOW",0.2037849355,"Dependent"
"Athens State University","1-public","1_LOW",0.3107476636,"Dependent"
"Auburn University at Montgomery","1-public","1_LOW",0.4283903676,"Dependent"
"South University-Montgomery","3-private for-profit","1_LOW",0.5133443163,"Dependent"
"Coastal Alabama Community College","1-public","1_LOW",0.4880404784,"Dependent"
"Faulkner University","2-private nonprofit","1_LOW",0.4081632653,"Dependent"
"George C Wallace State Community College-Hanceville","1-public","1_LOW",0.4222957015,"Dependent"
"Herzing University-Birmingham","2-private nonprofit","1_LOW",0.5196779964,"Dependent"
"Jacksonville State University","1-public","1_LOW",0.3633469759,"Dependent"
"Jefferson State Community College","1-public","1_LOW",0.4291808874,"Dependent"
"John C Calhoun State Community College","1-public","1_LOW",0.461119186,"Dependent"
"University of South Alabama","1-public","1_LOW",0.3537141325,"Dependent"
"Troy University","1-public","1_LOW",0.3849765258,"Dependent"
"University of Alaska Anchorage","1-public","1_LOW",0.3160723009,"Dependent"
"University of Alaska Fairbanks","1-public","1_LOW",0.2559808612,"Dependent"
"University of Alaska Southeast","1-public","1_LOW",0.285046729,"Dependent"
"Charter College","3-private for-profit","1_LOW",0.4459143969,"Dependent"
"Alaska Career College","3-private for-profit","1_LOW",0.4340659341,"Dependent"
"Thunderbird School of Global Management","1-public","1_LOW",0.3020823291,"Dependent"
"Carrington College-Phoenix North","3-private for-profit","1_LOW",0.5509202454,"Dependent"
"Carrington College-Mesa","3-private for-profit","1_LOW",0.5509202454,"Dependent"
"Carrington College-Tucson","3-private for-profit","1_LOW",0.5509202454,"Dependent"
"Platt College-Arizona Automotive Institute Arizona","3-private for-profit","1_LOW",0.600127551,"Dependent"
"Brookline College-Phoenix","3-private for-profit","1_LOW",0.6342229199,"Dependent"
"Arizona State University-Tempe","1-public","1_LOW",0.3020823291,"Dependent"
"University of Arizona","1-public","1_LOW",0.2880174745,"Dependent"
"Brown Mackie College-Tucson","3-private for-profit","1_LOW",0.5070306038,"Dependent"
"Embry-Riddle Aeronautical University-Prescott","2-private nonprofit","1_LOW",0.2088469906,"Dependent"
"Glendale Community College","1-public","1_LOW",0.5111974406,"Dependent"
"Grand Canyon University","3-private for-profit","1_LOW",0.3024661741,"Dependent"
"GateWay Community College","1-public","1_LOW",0.5691542289,"Dependent"
"Mesa Community College","1-public","1_LOW",0.4691737017,"Dependent"
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","3-private for-profit","1_LOW",0.3770542636,"Dependent"
"Northern Arizona University","1-public","1_LOW",0.2513027001,"Dependent"
"Ottawa University-Phoenix","2-private nonprofit","1_LOW",0.2593283582,"Dependent"
"Phoenix College","1-public","1_LOW",0.5782759954,"Dependent"
"Pima Community College","1-public","1_LOW",0.5300059418,"Dependent"
"Pima Medical Institute-Tucson","3-private for-profit","1_LOW",0.4616497829,"Dependent"
"Pima Medical Institute-Albuquerque","3-private for-profit","1_LOW",0.4616497829,"Dependent"
