"INSTNM","TUITIONFEE_IN","TUITIONFEE_OUT","CONTROL","Ave_Faculty_Salary"
"Alabama A & M University",9857,18236,"1-public",6983
"University of Alabama at Birmingham",8328,19032,"1-public",10640
"Amridge University",6900,6900,"2-private nonprofit",3866
"University of Alabama in Huntsville",10280,21480,"1-public",9391
"Alabama State University",11068,19396,"1-public",7399
"The University of Alabama",10780,28100,"1-public",10016
"Central Alabama Community College",4440,8010,"1-public",5896
"Auburn University at Montgomery",8020,17140,"1-public",7518
"Auburn University",10968,29640,"1-public",10137
"Birmingham Southern College",35804,35804,"2-private nonprofit",7774
"Chattahoochee Valley Community College",4314,7884,"1-public",5961
"Concordia College Alabama",10320,10320,"2-private nonprofit",5409
"South University-Montgomery",17014,17014,"3-private for-profit",4830
"Enterprise State Community College",4440,8010,"1-public",6337
"Coastal Alabama Community College",4380,7890,"1-public",5932
"Faulkner University",20970,20970,"2-private nonprofit",5702
"Gadsden State Community College",3600,6456,"1-public",6236
"George C Wallace Community College-Dothan",4380,7950,"1-public",5866
"George C Wallace State Community College-Hanceville",3726,6582,"1-public",5790
"George C Wallace State Community College-Selma",4140,7710,"1-public",4775
"Herzing University-Birmingham",13850,13850,"2-private nonprofit",5360
"Huntingdon College",26400,26400,"2-private nonprofit",6851
"Heritage Christian University",11232,11232,"2-private nonprofit",4812
"J. F. Drake State Community and Technical College",4410,7980,"1-public",5981
"J F Ingram State Technical College",4968,4968,"1-public",5623
"Jacksonville State University",8166,15582,"1-public",6960
"Jefferson Davis Community College",4088,7598,"1-public",6173
"Jefferson State Community College",4500,8070,"1-public",6451
"John C Calhoun State Community College",4520,8090,"1-public",6479
"Judson College",17896,17896,"2-private nonprofit",5932
"Lawson State Community College",4440,8010,"1-public",6035
"University of West Alabama",9204,16818,"1-public",6711
"Lurleen B Wallace Community College",4440,8010,"1-public",6303
"Marion Military Institute",9418,15418,"1-public",4647
"Miles College",11794,11794,"2-private nonprofit",4444
"University of Mobile",22210,22210,"2-private nonprofit",4938
"University of Montevallo",12400,25030,"1-public",7451
"Northwest-Shoals Community College",4411,7921,"1-public",4895
"University of North Alabama",8480,15128,"1-public",7567
"Northeast Alabama Community College",4440,8010,"1-public",4898
"Oakwood University",16720,16720,"2-private nonprofit",4902
"Alabama Southern Community College",4380,7890,"1-public",6213
"Reid State Technical College",4500,8070,"1-public",6177
"Bishop State Community College",4440,8010,"1-public",6258
"Samford University",30490,30490,"2-private nonprofit",8580
"Selma University",7115,7115,"2-private nonprofit",2900
"Shelton State Community College",4189,7759,"1-public",4690
"Snead State Community College",4500,8070,"1-public",6934
"University of South Alabama",7812,15324,"1-public",7203
"Spring Hill College",37584,37584,"2-private nonprofit",6643
"Stillman College",10792,10792,"2-private nonprofit",4641
"Talladega College",12340,12340,"2-private nonprofit",5471
"H Councill Trenholm State Community College",4350,7920,"1-public",5811
"Troy University",8692,16276,"1-public",6444
"Tuskegee University",22170,22170,"2-private nonprofit",4753
"Bevill State Community College",4766,8574,"1-public",6476
"University of Alaska Anchorage",6690,19494,"1-public",9248
"Alaska Bible College",9350,9350,"2-private nonprofit",3403
"University of Alaska Fairbanks",6262,19183,"1-public",9617
"University of Alaska Southeast",6828,19533,"1-public",8395
"Alaska Pacific University",20760,20760,"2-private nonprofit",5833
"Charter College",21908,21908,"3-private for-profit",4612
"CollegeAmerica-Flagstaff",16968,16968,"2-private nonprofit",7012
"Arizona State University-Tempe",10792,27372,"1-public",11348
"Arizona Western College",2660,9650,"1-public",6698
"University of Arizona",11877,35307,"1-public",10928
"Southwest University of Visual Arts-Tucson",23044,23044,"3-private for-profit",5549
"Central Arizona College",2580,11100,"1-public",6344
"Cochise County Community College District",1968,6240,"1-public",6411
"Eastern Arizona College",2550,11250,"1-public",8063
"Embry-Riddle Aeronautical University-Prescott",34662,34662,"2-private nonprofit",9069
"Glendale Community College",2094,7878,"1-public",7362
"Grand Canyon University",17050,17050,"3-private for-profit",6482
"GateWay Community College",2094,7878,"1-public",6934
"Mesa Community College",2094,7878,"1-public",7647
"Mohave Community College",2112,6972,"1-public",6883
"Dine College",1410,1410,"1-public",5379
"Northern Arizona University",11059,24841,"1-public",8239
"Northland Pioneer College",1808,8360,"1-public",6057
"Phoenix College",2094,7878,"1-public",7432
"Pima Community College",2118,7434,"1-public",5439
"Prescott College",30501,30501,"2-private nonprofit",4936
"Rio Salado College",2094,7878,"1-public",6813
"Scottsdale Community College",2094,7878,"1-public",7309
"South Mountain Community College",2094,7878,"1-public",7381
"Arizona Christian University",24958,24958,"2-private nonprofit",5187
"Western International University",6000,6000,"3-private for-profit",5923
"Yavapai College",2280,8976,"1-public",7146
"University of Arkansas at Little Rock",8998,21208,"1-public",7425
"Arkansas Baptist College",8760,8760,"2-private nonprofit",4340
"Lyon College",27340,27340,"2-private nonprofit",6580
"University of Arkansas",9062,24308,"1-public",9671
"University of Arkansas at Pine Bluff",7408,13738,"1-public",5851
"Arkansas State University-Beebe",3570,5730,"1-public",5095
"Arkansas State University-Main Campus",8478,14778,"1-public",7077
"Arkansas Tech University",7104,12528,"1-public",6637
"University of Arkansas at Monticello",7462,13312,"1-public",5685
"Baptist Health College Little Rock",9867,9867,"2-private nonprofit",6372
"Black River Technical College",3120,5448,"1-public",4918
"University of Central Arkansas",8524,15047,"1-public",6974
"Central Baptist College",15750,15750,"2-private nonprofit",5356
"Cossatot Community College of the University of Arkansas",3210,4080,"1-public",5018
"Crowley's Ridge College",12250,12250,"2-private nonprofit",4373
"East Arkansas Community College",2850,3660,"1-public",5201
"National Park College",3450,4950,"1-public",5217
"University of Arkansas Community College-Batesville",2466,4218,"1-public",4315
"Harding University",19385,19385,"2-private nonprofit",7513
"Henderson State University",8530,10180,"1-public",5971
"Hendrix College",44070,44070,"2-private nonprofit",7602
"John Brown University",26144,26144,"2-private nonprofit",6750
"Arkansas State University Mid-South",2674,4114,"1-public",4316
"Arkansas Northeastern College",2290,3970,"1-public",5173
"North Arkansas College",2208,4560,"1-public",5232
"Ouachita Baptist University",25870,25870,"2-private nonprofit",6397
"College of the Ouachitas",3680,6530,"1-public",4595
"Ozarka College",2932,5284,"1-public",4619
"University of the Ozarks",23750,23750,"2-private nonprofit",6522
"University of Arkansas Community College-Morrilton",3092,4004,"1-public",4937
"Philander Smith College",12714,12714,"2-private nonprofit",5321
"Phillips Community College of the University of Arkansas",2810,4610,"1-public",4777
"Southeast Arkansas College",3460,6280,"1-public",4866
"University of Arkansas-Pulaski Technical College",5170,6340,"1-public",4870
"University of Arkansas Community College-Hope",2740,5260,"1-public",4400
"University of Arkansas Community College Rich Mountain",2688,5640,"1-public",4659
"Shorter College",4904,4904,"2-private nonprofit",3125
"Williams Baptist University",17320,17320,"2-private nonprofit",5487
"South Arkansas Community College",2628,4764,"1-public",4897
"Southern Arkansas University Main Campus",8346,12156,"1-public",6841
"Southern Arkansas University Tech",4810,6250,"1-public",4271
"University of Arkansas-Fort Smith",5577,12650,"1-public",6848
"Academy of Art University",21252,21252,"3-private for-profit",8341
"College of Alameda",1230,7110,"1-public",8216
"Allan Hancock College",1352,6784,"1-public",6756
"American Academy of Dramatic Arts-Los Angeles",34170,34170,"2-private nonprofit",8120
"American Conservatory Theater",28705,28705,"2-private nonprofit",5176
"American River College",1104,8208,"1-public",8475
"Antelope Valley College",1124,6500,"1-public",8781
"Art Center College of Design",42008,42008,"2-private nonprofit",7584
"Azusa Pacific University",37506,37506,"2-private nonprofit",8201
"Bakersfield College",1325,7261,"1-public",9433
"Barstow Community College",1104,6720,"1-public",8516
"Biola University",38448,38448,"2-private nonprofit",9299
"Bryan University",13975,13975,"3-private for-profit",4650
"Butte College",1368,6984,"1-public",8864
"Cabrillo College",1268,7028,"1-public",7591
"California Baptist University",32256,32256,"2-private nonprofit",9350
"California College of the Arts",47266,47266,"2-private nonprofit",9572
"California Institute of Technology",49908,49908,"2-private nonprofit",19600
"California Lutheran University",41363,41363,"2-private nonprofit",10005
"California Polytechnic State University-San Luis Obispo",9432,21312,"1-public",10006
"Alliant International University-San Diego",14310,14310,"3-private for-profit",8147
"California State University-Bakersfield",7147,19027,"1-public",9262
"California State University-Stanislaus",7038,18918,"1-public",9328
"California State University-San Bernardino",6885,18765,"1-public",9564
